Platform,Year,Trust,Share,Platform_FR,Trust_FR
Facebook / Meta,2024,Low (1-3),44.92%,Facebook / Meta,Faible (1 à 3)
Facebook / Meta,2022,Low (1-3),42.09%,Facebook / Meta,Faible (1 à 3)
Facebook / Meta,2021,Low (1-3),37.00%,Facebook / Meta,Faible (1 à 3)
Facebook / Meta,2019,Low (1-3),36.63%,Facebook / Meta,Faible (1 à 3)
Facebook / Meta,2024,Medium (4-6),37.65%,Facebook / Meta,Moyen (4 à 6)
Facebook / Meta,2022,Medium (4-6),40.55%,Facebook / Meta,Moyen (4 à 6)
Facebook / Meta,2021,Medium (4-6),39.00%,Facebook / Meta,Moyen (4 à 6)
Facebook / Meta,2019,Medium (4-6),38.61%,Facebook / Meta,Moyen (4 à 6)
Facebook / Meta,2024,High (7-9),12.40%,Facebook / Meta,Haut (7 à 9)
Facebook / Meta,2022,High (7-9),12.35%,Facebook / Meta,Haut (7 à 9)
Facebook / Meta,2021,High (7-9),21.00%,Facebook / Meta,Haut (7 à 9)
Facebook / Meta,2019,High (7-9),20.79%,Facebook / Meta,Haut (7 à 9)
Facebook / Meta,2024,Don't know,5.02%,Facebook / Meta,Je ne sais pas
Facebook / Meta,2022,Don't know,5.01%,Facebook / Meta,Je ne sais pas
Facebook / Meta,2021,Don't know,3.00%,Facebook / Meta,Je ne sais pas
Facebook / Meta,2019,Don't know,3.96%,Facebook / Meta,Je ne sais pas
Twitter / X,2024,Low (1-3),48.04%,Twitter / X,Faible (1 à 3)
Twitter / X,2022,Low (1-3),39.51%,Twitter / X,Faible (1 à 3)
Twitter / X,2021,Low (1-3),30.69%,Twitter / X,Faible (1 à 3)
Twitter / X,2019,Low (1-3),29.00%,Twitter / X,Faible (1 à 3)
Twitter / X,2024,Medium (4-6),30.02%,Twitter / X,Moyen (4 à 6)
Twitter / X,2022,Medium (4-6),36.35%,Twitter / X,Moyen (4 à 6)
Twitter / X,2021,Medium (4-6),34.65%,Twitter / X,Moyen (4 à 6)
Twitter / X,2019,Medium (4-6),35.00%,Twitter / X,Moyen (4 à 6)
Twitter / X,2024,High (7-9),11.03%,Twitter / X,Haut (7 à 9)
Twitter / X,2022,High (7-9),11.32%,Twitter / X,Haut (7 à 9)
Twitter / X,2021,High (7-9),21.78%,Twitter / X,Haut (7 à 9)
Twitter / X,2019,High (7-9),22.00%,Twitter / X,Haut (7 à 9)
Twitter / X,2024,Don't know,10.91%,Twitter / X,Je ne sais pas
Twitter / X,2022,Don't know,12.82%,Twitter / X,Je ne sais pas
Twitter / X,2021,Don't know,12.87%,Twitter / X,Je ne sais pas
Twitter / X,2019,Don't know,14.00%,Twitter / X,Je ne sais pas
TikTok,2024,Low (1-3),55.23%,TikTok,Faible (1 à 3)
TikTok,2022,Low (1-3),49.67%,TikTok,Faible (1 à 3)
TikTok,2021,Low (1-3),36.00%,TikTok,Faible (1 à 3)
TikTok,2024,Medium (4-6),26.88%,TikTok,Moyen (4 à 6)
TikTok,2022,Medium (4-6),30.26%,TikTok,Moyen (4 à 6)
TikTok,2021,Medium (4-6),30.00%,TikTok,Moyen (4 à 6)
TikTok,2024,High (7-9),8.33%,TikTok,Haut (7 à 9)
TikTok,2022,High (7-9),7.10%,TikTok,Haut (7 à 9)
TikTok,2021,High (7-9),16.00%,TikTok,Haut (7 à 9)
TikTok,2024,Don't know,9.56%,TikTok,Je ne sais pas
TikTok,2022,Don't know,12.97%,TikTok,Je ne sais pas
TikTok,2021,Don't know,18.00%,TikTok,Je ne sais pas
