Statement,Year,Frequency,Share,Statement_FR,Frequency_FR
Information about the news or current events that you immediately suspect to be false,2024,At least a few times a week,31.84%,Informations sur les nouvelles ou les événements actuels que vous soupçonnez immédiatement d’être fausses,Au moins quelques fois par semaine
Information about the news or current events that you immediately suspect to be false,2022,At least a few times a week,31.51%,Informations sur les nouvelles ou les événements actuels que vous soupçonnez immédiatement d’être fausses,Au moins quelques fois par semaine
Information about the news or current events that you immediately suspect to be false,2021,At least a few times a week,23.99%,Informations sur les nouvelles ou les événements actuels que vous soupçonnez immédiatement d’être fausses,Au moins quelques fois par semaine
Information about the news or current events that you immediately suspect to be false,2019,At least a few times a week,32.00%,Informations sur les nouvelles ou les événements actuels que vous soupçonnez immédiatement d’être fausses,Au moins quelques fois par semaine
Information about the news or current events that you immediately suspect to be false,2024,A few times a month,22.63%,Informations sur les nouvelles ou les événements actuels que vous soupçonnez immédiatement d’être fausses,Quelques fois par mois
Information about the news or current events that you immediately suspect to be false,2022,A few times a month,24.46%,Informations sur les nouvelles ou les événements actuels que vous soupçonnez immédiatement d’être fausses,Quelques fois par mois
Information about the news or current events that you immediately suspect to be false,2021,A few times a month,21.88%,Informations sur les nouvelles ou les événements actuels que vous soupçonnez immédiatement d’être fausses,Quelques fois par mois
Information about the news or current events that you immediately suspect to be false,2019,A few times a month,24.00%,Informations sur les nouvelles ou les événements actuels que vous soupçonnez immédiatement d’être fausses,Quelques fois par mois
Information about the news or current events that you immediately suspect to be false,2024,A few times a year,20.07%,Informations sur les nouvelles ou les événements actuels que vous soupçonnez immédiatement d’être fausses,Quelques fois par an
Information about the news or current events that you immediately suspect to be false,2022,A few times a year,18.77%,Informations sur les nouvelles ou les événements actuels que vous soupçonnez immédiatement d’être fausses,Quelques fois par an
Information about the news or current events that you immediately suspect to be false,2021,A few times a year,25.38%,Informations sur les nouvelles ou les événements actuels que vous soupçonnez immédiatement d’être fausses,Quelques fois par an
Information about the news or current events that you immediately suspect to be false,2019,A few times a year,16.00%,Informations sur les nouvelles ou les événements actuels que vous soupçonnez immédiatement d’être fausses,Quelques fois par an
Information about the news or current events that you believe to be true and later find out is false,2024,At least a few times a week,17.35%,Informations sur les nouvelles ou les événements actuels que vous croyez vraies et qui s’avèrent fausses par la suite,Au moins quelques fois par semaine
Information about the news or current events that you believe to be true and later find out is false,2022,At least a few times a week,16.03%,Informations sur les nouvelles ou les événements actuels que vous croyez vraies et qui s’avèrent fausses par la suite,Au moins quelques fois par semaine
Information about the news or current events that you believe to be true and later find out is false,2021,At least a few times a week,18.67%,Informations sur les nouvelles ou les événements actuels que vous croyez vraies et qui s’avèrent fausses par la suite,Au moins quelques fois par semaine
Information about the news or current events that you believe to be true and later find out is false,2024,A few times a month,21.04%,Informations sur les nouvelles ou les événements actuels que vous croyez vraies et qui s’avèrent fausses par la suite,Quelques fois par mois
Information about the news or current events that you believe to be true and later find out is false,2022,A few times a month,21.07%,Informations sur les nouvelles ou les événements actuels que vous croyez vraies et qui s’avèrent fausses par la suite,Quelques fois par mois
Information about the news or current events that you believe to be true and later find out is false,2021,A few times a month,20.29%,Informations sur les nouvelles ou les événements actuels que vous croyez vraies et qui s’avèrent fausses par la suite,Quelques fois par mois
Information about the news or current events that you believe to be true and later find out is false,2024,A few times a year,29.31%,Informations sur les nouvelles ou les événements actuels que vous croyez vraies et qui s’avèrent fausses par la suite,Quelques fois par an
Information about the news or current events that you believe to be true and later find out is false,2022,A few times a year,29.68%,Informations sur les nouvelles ou les événements actuels que vous croyez vraies et qui s’avèrent fausses par la suite,Quelques fois par an
Information about the news or current events that you believe to be true and later find out is false,2021,A few times a year,27.87%,Informations sur les nouvelles ou les événements actuels que vous croyez vraies et qui s’avèrent fausses par la suite,Quelques fois par an
Hate speech that deliberately promotes hatred against an identifiable group,2024,At least a few times a week,23.30%,Discours haineux qui fomente délibérément la haine contre un groupe identifiable,Au moins quelques fois par semaine
Hate speech that deliberately promotes hatred against an identifiable group,2022,At least a few times a week,21.77%,Discours haineux qui fomente délibérément la haine contre un groupe identifiable,Au moins quelques fois par semaine
Hate speech that deliberately promotes hatred against an identifiable group,2021,At least a few times a week,12.41%,Discours haineux qui fomente délibérément la haine contre un groupe identifiable,Au moins quelques fois par semaine
Hate speech that deliberately promotes hatred against an identifiable group,2019,At least a few times a week,23.00%,Discours haineux qui fomente délibérément la haine contre un groupe identifiable,Au moins quelques fois par semaine
Hate speech that deliberately promotes hatred against an identifiable group,2024,A few times a month,18.18%,Discours haineux qui fomente délibérément la haine contre un groupe identifiable,Quelques fois par mois
Hate speech that deliberately promotes hatred against an identifiable group,2022,A few times a month,20.04%,Discours haineux qui fomente délibérément la haine contre un groupe identifiable,Quelques fois par mois
Hate speech that deliberately promotes hatred against an identifiable group,2021,A few times a month,13.12%,Discours haineux qui fomente délibérément la haine contre un groupe identifiable,Quelques fois par mois
Hate speech that deliberately promotes hatred against an identifiable group,2019,A few times a month,24.00%,Discours haineux qui fomente délibérément la haine contre un groupe identifiable,Quelques fois par mois
Hate speech that deliberately promotes hatred against an identifiable group,2024,A few times a year,21.59%,Discours haineux qui fomente délibérément la haine contre un groupe identifiable,Quelques fois par an
Hate speech that deliberately promotes hatred against an identifiable group,2022,A few times a year,23.29%,Discours haineux qui fomente délibérément la haine contre un groupe identifiable,Quelques fois par an
