Statement,Age,Share,Statement_FR,Age_FR
See hate speech online at least few times per week,All Canadian Residents,23%,Voir des discours haineux en ligne au moins plusieurs fois par semaine,Tous les résidents canadiens
See violent online content at least few times per week,All Canadian Residents,16%,Voir du contenu violent en ligne au moins plusieurs fois par semaine,Tous les résidents canadiens
Been targeted with online hate speech,All Canadian Residents,10%,Être la cible de discours haineux en ligne,Tous les résidents canadiens
Been targeted with online harassment,All Canadian Residents,8%,Être la cible de harcèlement en ligne,Tous les résidents canadiens
Had intimate images shared without consent,All Canadian Residents,4%,Voir vos images/photos intimes partagées en ligne sans votre consentement,Tous les résidents canadiens
See hate speech online at least few times per week,Youth Aged 16-29,33%,Voir des discours haineux en ligne au moins plusieurs fois par semaine,Jeunes de 16 à 29 ans
See violent online content at least few times per week,Youth Aged 16-29,21%,Voir du contenu violent en ligne au moins plusieurs fois par semaine,Jeunes de 16 à 29 ans
Been targeted with online hate speech,Youth Aged 16-29,15%,Être la cible de discours haineux en ligne,Jeunes de 16 à 29 ans
Been targeted with online harassment,Youth Aged 16-29,12%,Être la cible de harcèlement en ligne,Jeunes de 16 à 29 ans
Had intimate images shared without consent,Youth Aged 16-29,8%,Voir vos images/photos intimes partagées en ligne sans votre consentement,Jeunes de 16 à 29 ans
