Statement,Answer,Share,Statement_FR,Answer_FR
"Blocked, reported or flagged an account to an online platform for being fake or automated",Yes,40%,"Bloquer, dénoncer ou signaler un compte sur une plateforme en ligne comme étant un faux compte ou un compte automatisé",Oui
Reported or flagged an account to an online platform for sharing illegal content,Yes,25%,Dénoncer ou signaler un compte sur une plateforme en ligne pour avoir partagé un contenu illicite,Oui
Blocked an online account for sharing illegal content,Yes,24%,Bloquer un compte en ligne pour avoir partagé un contenu illicite,Oui
Reported someone to the police for illegal activity online,Yes,6%,Dénoncer quelqu’un à la police pour des activités illégales en ligne,Oui
"Blocked, reported or flagged an account to an online platform for being fake or automated",No,56%,"Bloquer, dénoncer ou signaler un compte sur une plateforme en ligne comme étant un faux compte ou un compte automatisé",Non
Reported or flagged an account to an online platform for sharing illegal content,No,71%,Dénoncer ou signaler un compte sur une plateforme en ligne pour avoir partagé un contenu illicite,Non
Blocked an online account for sharing illegal content,No,70%,Bloquer un compte en ligne pour avoir partagé un contenu illicite,Non
Reported someone to the police for illegal activity online,No,92%,Dénoncer quelqu’un à la police pour des activités illégales en ligne,Non
"Blocked, reported or flagged an account to an online platform for being fake or automated",Unsure,5%,"Bloquer, dénoncer ou signaler un compte sur une plateforme en ligne comme étant un faux compte ou un compte automatisé",Je ne suis pas sûr(e)
Reported or flagged an account to an online platform for sharing illegal content,Unsure,4%,Dénoncer ou signaler un compte sur une plateforme en ligne pour avoir partagé un contenu illicite,Je ne suis pas sûr(e)
Blocked an online account for sharing illegal content,Unsure,6%,Bloquer un compte en ligne pour avoir partagé un contenu illicite,Je ne suis pas sûr(e)
Reported someone to the police for illegal activity online,Unsure,2%,Dénoncer quelqu’un à la police pour des activités illégales en ligne,Je ne suis pas sûr(e)
