Source,Statement,Share,Source_FR,Statement_FR
The online platforms,Responsible for CAUSING it,18%,Les plateformes en ligne,Responsable de sa CAUSE
The people who use online platforms,Responsible for CAUSING it,46%,Les personnes qui se servent des plateformes en ligne,Responsable de sa CAUSE
Government or political leaders,Responsible for CAUSING it,10%,Gouvernement ou personnes dirigeantes politiques,Responsable de sa CAUSE
I donâ€™t think anyone is most responsible,Responsible for CAUSING it,13%,Je ne pense pas que quelqu’un soit le plus responsable,Responsable de sa CAUSE
Unsure or donâ€™t know,Responsible for CAUSING it,13%,Incertaine ou incertain ou je ne sais pas,Responsable de sa CAUSE
The online platforms,Responsible for FIXING it,49%,Les plateformes en ligne,Responsable de la SOLUTION
The people who use online platforms,Responsible for FIXING it,15%,Les personnes qui se servent des plateformes en ligne,Responsable de la SOLUTION
Government or political leaders,Responsible for FIXING it,18%,Gouvernement ou personnes dirigeantes politiques,Responsable de la SOLUTION
I donâ€™t think anyone is most responsible,Responsible for FIXING it,8%,Je ne pense pas que quelqu’un soit le plus responsable,Responsable de la SOLUTION
Unsure or donâ€™t know,Responsible for FIXING it,11%,Incertaine ou incertain ou je ne sais pas,Responsable de la SOLUTION
