Statement,Support,Share,Statement_FR,Support_FR
... quickly remove child sexual abuse material and report it to the police,Strongly support,84.09,... supprimer rapidement le matériel connexe à des abus sexuels commis sur des enfants et les signaler à la police,Soutien ferme
... quickly remove intimate or nude images posted without consent,Strongly support,76.95,... supprimer rapidement les images intimes ou de nudité publiées sans consentement,Soutien ferme
... quickly remove accounts that impersonate others,Strongly support,71.91,... supprimer rapidement les comptes qui usurpent l’identité d’autres personnes,Soutien ferme
... quickly remove content that encourages or threatens physical violence,Strongly support,69.34,... supprimer rapidement le contenu qui encourage ou menace la violence physique,Soutien ferme
... block or remove bot accounts,Strongly support,67.98,... bloquer ou supprimer les comptes de robots,Soutien ferme
"... develop specific measures for child users, such as parental control tools",Strongly support,67.88,"... élaborer des mesures spécifiques pour les enfants utilisateurs, comme des outils de contrôle parental",Soutien ferme
... quickly remove hate speech that deliberately promotes hatred against an identifiable group,Strongly support,66.28,... supprimer rapidement le discours haineux qui fomente délibérément la haine contre un groupe identifiable,Soutien ferme
... remove accounts that repeatedly spread false information,Strongly support,65.24,... supprimer les comptes qui diffusent de manière répétée de fausses informations,Soutien ferme
... label synthetic media or â€œdeep fakeâ€ images or videos,Strongly support,64.39,... étiqueter les médias synthétiques ou les images ou vidéos « hypertruquées »,Soutien ferme
... have built-in mechanisms for users to report illegal content,Strongly support,64.1,... disposer de mécanismes intégrés qui permettent aux utilisateurs de signaler le contenu illégal,Soutien ferme
... ensure paid online ads only contain true information and identify their source or sponsor,Strongly support,63.7,... s’assurer que les annonces publicitaires payées en ligne ne contiennent que des informations véridiques et identifient leur source ou leur commanditaire,Soutien ferme
... offer users tools to easily fact check or search for authenticity of content,Strongly support,54.64,... offrir aux utilisateurs des outils qui leur permettent de vérifier facilement les faits ou de chercher l’authenticité du contenu,Soutien ferme
... quickly remove child sexual abuse material and report it to the police,Somewhat support,7.34,... supprimer rapidement le matériel connexe à des abus sexuels commis sur des enfants et les signaler à la police,Soutien quelconque
... quickly remove intimate or nude images posted without consent,Somewhat support,10.57,... supprimer rapidement les images intimes ou de nudité publiées sans consentement,Soutien quelconque
... quickly remove accounts that impersonate others,Somewhat support,14.93,... supprimer rapidement les comptes qui usurpent l’identité d’autres personnes,Soutien quelconque
... quickly remove content that encourages or threatens physical violence,Somewhat support,15.95,... supprimer rapidement le contenu qui encourage ou menace la violence physique,Soutien quelconque
... block or remove bot accounts,Somewhat support,16.38,... bloquer ou supprimer les comptes de robots,Soutien quelconque
"... develop specific measures for child users, such as parental control tools",Somewhat support,17.36,"... élaborer des mesures spécifiques pour les enfants utilisateurs, comme des outils de contrôle parental",Soutien quelconque
... quickly remove hate speech that deliberately promotes hatred against an identifiable group,Somewhat support,15.83,... supprimer rapidement le discours haineux qui fomente délibérément la haine contre un groupe identifiable,Soutien quelconque
... remove accounts that repeatedly spread false information,Somewhat support,17.02,... supprimer les comptes qui diffusent de manière répétée de fausses informations,Soutien quelconque
... label synthetic media or â€œdeep fakeâ€ images or videos,Somewhat support,18.45,... étiqueter les médias synthétiques ou les images ou vidéos « hypertruquées »,Soutien quelconque
... have built-in mechanisms for users to report illegal content,Somewhat support,19.48,... disposer de mécanismes intégrés qui permettent aux utilisateurs de signaler le contenu illégal,Soutien quelconque
... ensure paid online ads only contain true information and identify their source or sponsor,Somewhat support,20.87,... s’assurer que les annonces publicitaires payées en ligne ne contiennent que des informations véridiques et identifient leur source ou leur commanditaire,Soutien quelconque
... offer users tools to easily fact check or search for authenticity of content,Somewhat support,24.52,... offrir aux utilisateurs des outils qui leur permettent de vérifier facilement les faits ou de chercher l’authenticité du contenu,Soutien quelconque
... quickly remove child sexual abuse material and report it to the police,Neutral,4.67,... supprimer rapidement le matériel connexe à des abus sexuels commis sur des enfants et les signaler à la police,Neutre
... quickly remove intimate or nude images posted without consent,Neutral,7.05,... supprimer rapidement les images intimes ou de nudité publiées sans consentement,Neutre
... quickly remove accounts that impersonate others,Neutral,7.09,... supprimer rapidement les comptes qui usurpent l’identité d’autres personnes,Neutre
... quickly remove content that encourages or threatens physical violence,Neutral,8.48,... supprimer rapidement le contenu qui encourage ou menace la violence physique,Neutre
... block or remove bot accounts,Neutral,7.39,... bloquer ou supprimer les comptes de robots,Neutre
"... develop specific measures for child users, such as parental control tools",Neutral,9.01,"... élaborer des mesures spécifiques pour les enfants utilisateurs, comme des outils de contrôle parental",Neutre
... quickly remove hate speech that deliberately promotes hatred against an identifiable group,Neutral,9.07,... supprimer rapidement le discours haineux qui fomente délibérément la haine contre un groupe identifiable,Neutre
... remove accounts that repeatedly spread false information,Neutral,9.52,... supprimer les comptes qui diffusent de manière répétée de fausses informations,Neutre
... label synthetic media or â€œdeep fakeâ€ images or videos,Neutral,9.09,... étiqueter les médias synthétiques ou les images ou vidéos « hypertruquées »,Neutre
... have built-in mechanisms for users to report illegal content,Neutral,9.13,... disposer de mécanismes intégrés qui permettent aux utilisateurs de signaler le contenu illégal,Neutre
... ensure paid online ads only contain true information and identify their source or sponsor,Neutral,9.07,... s’assurer que les annonces publicitaires payées en ligne ne contiennent que des informations véridiques et identifient leur source ou leur commanditaire,Neutre
... offer users tools to easily fact check or search for authenticity of content,Neutral,12.71,... offrir aux utilisateurs des outils qui leur permettent de vérifier facilement les faits ou de chercher l’authenticité du contenu,Neutre
... quickly remove child sexual abuse material and report it to the police,Somewhat oppose,0.84,... supprimer rapidement le matériel connexe à des abus sexuels commis sur des enfants et les signaler à la police,Opposition quelconque
... quickly remove intimate or nude images posted without consent,Somewhat oppose,1.19,... supprimer rapidement les images intimes ou de nudité publiées sans consentement,Opposition quelconque
... quickly remove accounts that impersonate others,Somewhat oppose,1.81,... supprimer rapidement les comptes qui usurpent l’identité d’autres personnes,Opposition quelconque
... quickly remove content that encourages or threatens physical violence,Somewhat oppose,1.97,... supprimer rapidement le contenu qui encourage ou menace la violence physique,Opposition quelconque
... block or remove bot accounts,Somewhat oppose,1.63,... bloquer ou supprimer les comptes de robots,Opposition quelconque
"... develop specific measures for child users, such as parental control tools",Somewhat oppose,1.74,"... élaborer des mesures spécifiques pour les enfants utilisateurs, comme des outils de contrôle parental",Opposition quelconque
... quickly remove hate speech that deliberately promotes hatred against an identifiable group,Somewhat oppose,3.42,... supprimer rapidement le discours haineux qui fomente délibérément la haine contre un groupe identifiable,Opposition quelconque
... remove accounts that repeatedly spread false information,Somewhat oppose,2.79,... supprimer les comptes qui diffusent de manière répétée de fausses informations,Opposition quelconque
... label synthetic media or â€œdeep fakeâ€ images or videos,Somewhat oppose,2.05,... étiqueter les médias synthétiques ou les images ou vidéos « hypertruquées »,Opposition quelconque
... have built-in mechanisms for users to report illegal content,Somewhat oppose,1.68,... disposer de mécanismes intégrés qui permettent aux utilisateurs de signaler le contenu illégal,Opposition quelconque
... ensure paid online ads only contain true information and identify their source or sponsor,Somewhat oppose,1.28,... s’assurer que les annonces publicitaires payées en ligne ne contiennent que des informations véridiques et identifient leur source ou leur commanditaire,Opposition quelconque
... offer users tools to easily fact check or search for authenticity of content,Somewhat oppose,1.89,... offrir aux utilisateurs des outils qui leur permettent de vérifier facilement les faits ou de chercher l’authenticité du contenu,Opposition quelconque
... quickly remove child sexual abuse material and report it to the police,Strongly oppose,0.52,... supprimer rapidement le matériel connexe à des abus sexuels commis sur des enfants et les signaler à la police,Opposition ferme
... quickly remove intimate or nude images posted without consent,Strongly oppose,1.17,... supprimer rapidement les images intimes ou de nudité publiées sans consentement,Opposition ferme
... quickly remove accounts that impersonate others,Strongly oppose,0.63,... supprimer rapidement les comptes qui usurpent l’identité d’autres personnes,Opposition ferme
... quickly remove content that encourages or threatens physical violence,Strongly oppose,1.03,... supprimer rapidement le contenu qui encourage ou menace la violence physique,Opposition ferme
... block or remove bot accounts,Strongly oppose,0.79,... bloquer ou supprimer les comptes de robots,Opposition ferme
"... develop specific measures for child users, such as parental control tools",Strongly oppose,0.36,"... élaborer des mesures spécifiques pour les enfants utilisateurs, comme des outils de contrôle parental",Opposition ferme
... quickly remove hate speech that deliberately promotes hatred against an identifiable group,Strongly oppose,2.04,... supprimer rapidement le discours haineux qui fomente délibérément la haine contre un groupe identifiable,Opposition ferme
... remove accounts that repeatedly spread false information,Strongly oppose,1.65,... supprimer les comptes qui diffusent de manière répétée de fausses informations,Opposition ferme
... label synthetic media or â€œdeep fakeâ€ images or videos,Strongly oppose,1.07,... étiqueter les médias synthétiques ou les images ou vidéos « hypertruquées »,Opposition ferme
... have built-in mechanisms for users to report illegal content,Strongly oppose,1.44,... disposer de mécanismes intégrés qui permettent aux utilisateurs de signaler le contenu illégal,Opposition ferme
... ensure paid online ads only contain true information and identify their source or sponsor,Strongly oppose,0.81,... s’assurer que les annonces publicitaires payées en ligne ne contiennent que des informations véridiques et identifient leur source ou leur commanditaire,Opposition ferme
... offer users tools to easily fact check or search for authenticity of content,Strongly oppose,1.64,... offrir aux utilisateurs des outils qui leur permettent de vérifier facilement les faits ou de chercher l’authenticité du contenu,Opposition ferme
... quickly remove child sexual abuse material and report it to the police,Unsure,2.53,... supprimer rapidement le matériel connexe à des abus sexuels commis sur des enfants et les signaler à la police,Incertaine ou incertain
... quickly remove intimate or nude images posted without consent,Unsure,3.08,... supprimer rapidement les images intimes ou de nudité publiées sans consentement,Incertaine ou incertain
... quickly remove accounts that impersonate others,Unsure,3.63,... supprimer rapidement les comptes qui usurpent l’identité d’autres personnes,Incertaine ou incertain
... quickly remove content that encourages or threatens physical violence,Unsure,3.24,... supprimer rapidement le contenu qui encourage ou menace la violence physique,Incertaine ou incertain
... block or remove bot accounts,Unsure,5.83,... bloquer ou supprimer les comptes de robots,Incertaine ou incertain
"... develop specific measures for child users, such as parental control tools",Unsure,3.65,"... élaborer des mesures spécifiques pour les enfants utilisateurs, comme des outils de contrôle parental",Incertaine ou incertain
... quickly remove hate speech that deliberately promotes hatred against an identifiable group,Unsure,3.36,... supprimer rapidement le discours haineux qui fomente délibérément la haine contre un groupe identifiable,Incertaine ou incertain
... remove accounts that repeatedly spread false information,Unsure,3.79,... supprimer les comptes qui diffusent de manière répétée de fausses informations,Incertaine ou incertain
... label synthetic media or â€œdeep fakeâ€ images or videos,Unsure,4.94,... étiqueter les médias synthétiques ou les images ou vidéos « hypertruquées »,Incertaine ou incertain
... have built-in mechanisms for users to report illegal content,Unsure,4.16,... disposer de mécanismes intégrés qui permettent aux utilisateurs de signaler le contenu illégal,Incertaine ou incertain
... ensure paid online ads only contain true information and identify their source or sponsor,Unsure,4.26,... s’assurer que les annonces publicitaires payées en ligne ne contiennent que des informations véridiques et identifient leur source ou leur commanditaire,Incertaine ou incertain
... offer users tools to easily fact check or search for authenticity of content,Unsure,4.6,... offrir aux utilisateurs des outils qui leur permettent de vérifier facilement les faits ou de chercher l’authenticité du contenu,Incertaine ou incertain
