Statement,Year,Support,Share,Statement_FR,Support_FR
... quickly remove child sexual abuse material and report it to the police,2024,Strongly support,84.09%,... supprimer rapidement le matériel connexe à des abus sexuels commis sur des enfants et les signaler à la police,Fortement favorable
... quickly remove child sexual abuse material and report it to the police,2022,Strongly support,84.65%,... supprimer rapidement le matériel connexe à des abus sexuels commis sur des enfants et les signaler à la police,Fortement favorable
... quickly remove child sexual abuse material and report it to the police,2024,Somewhat support,7.34%,... supprimer rapidement le matériel connexe à des abus sexuels commis sur des enfants et les signaler à la police,Plutôt favorable
... quickly remove child sexual abuse material and report it to the police,2022,Somewhat support,6.60%,... supprimer rapidement le matériel connexe à des abus sexuels commis sur des enfants et les signaler à la police,Plutôt favorable
... quickly remove intimate or nude images posted without consent,2024,Strongly support,76.95%,... supprimer rapidement les images intimes ou de nudité publiées sans consentement,Fortement favorable
... quickly remove intimate or nude images posted without consent,2022,Strongly support,76.81%,... supprimer rapidement les images intimes ou de nudité publiées sans consentement,Fortement favorable
... quickly remove intimate or nude images posted without consent,2024,Somewhat support,10.57%,... supprimer rapidement les images intimes ou de nudité publiées sans consentement,Plutôt favorable
... quickly remove intimate or nude images posted without consent,2022,Somewhat support,12.03%,... supprimer rapidement les images intimes ou de nudité publiées sans consentement,Plutôt favorable
... quickly remove accounts that impersonate others,2024,Strongly support,71.91%,... supprimer rapidement les comptes qui usurpent l’identité d’autres personnes,Fortement favorable
... quickly remove accounts that impersonate others,2022,Strongly support,71.35%,... supprimer rapidement les comptes qui usurpent l’identité d’autres personnes,Fortement favorable
... quickly remove accounts that impersonate others,2021,Strongly support,55.00%,... supprimer rapidement les comptes qui usurpent l’identité d’autres personnes,Fortement favorable
... quickly remove accounts that impersonate others,2019,Strongly support,56.00%,... supprimer rapidement les comptes qui usurpent l’identité d’autres personnes,Fortement favorable
... quickly remove accounts that impersonate others,2024,Somewhat support,14.93%,... supprimer rapidement les comptes qui usurpent l’identité d’autres personnes,Plutôt favorable
... quickly remove accounts that impersonate others,2022,Somewhat support,15.06%,... supprimer rapidement les comptes qui usurpent l’identité d’autres personnes,Plutôt favorable
... quickly remove accounts that impersonate others,2021,Somewhat support,23.00%,... supprimer rapidement les comptes qui usurpent l’identité d’autres personnes,Plutôt favorable
... quickly remove accounts that impersonate others,2019,Somewhat support,22.00%,... supprimer rapidement les comptes qui usurpent l’identité d’autres personnes,Plutôt favorable
... quickly remove content that encourages or threatens physical violence,2024,Strongly support,69.34%,... supprimer rapidement le contenu qui encourage ou menace la violence physique,Fortement favorable
... quickly remove content that encourages or threatens physical violence,2022,Strongly support,70.96%,... supprimer rapidement le contenu qui encourage ou menace la violence physique,Fortement favorable
... quickly remove content that encourages or threatens physical violence,2024,Somewhat support,15.95%,... supprimer rapidement le contenu qui encourage ou menace la violence physique,Plutôt favorable
... quickly remove content that encourages or threatens physical violence,2022,Somewhat support,16.02%,... supprimer rapidement le contenu qui encourage ou menace la violence physique,Plutôt favorable
... block or remove bot accounts*,2024,Strongly support,67.98%,... bloquer ou supprimer les comptes de robots,Fortement favorable
... block or remove bot accounts*,2022,Strongly support,64.43%,... bloquer ou supprimer les comptes de robots,Fortement favorable
... block or remove bot accounts*,2021,Strongly support,39.00%,... bloquer ou supprimer les comptes de robots,Fortement favorable
... block or remove bot accounts*,2019,Strongly support,46.00%,... bloquer ou supprimer les comptes de robots,Fortement favorable
... block or remove bot accounts*,2024,Somewhat support,16.38%,... bloquer ou supprimer les comptes de robots,Plutôt favorable
... block or remove bot accounts*,2022,Somewhat support,20.30%,... bloquer ou supprimer les comptes de robots,Plutôt favorable
... block or remove bot accounts*,2021,Somewhat support,26.00%,... bloquer ou supprimer les comptes de robots,Plutôt favorable
... block or remove bot accounts*,2019,Somewhat support,26.00%,... bloquer ou supprimer les comptes de robots,Plutôt favorable
"... develop specific measures for child users, such as parental control tools",2024,Strongly support,67.88%,"... élaborer des mesures spécifiques pour les enfants utilisateurs, comme des outils de contrôle parental",Fortement favorable
"... develop specific measures for child users, such as parental control tools",2022,Strongly support,64.21%,"... élaborer des mesures spécifiques pour les enfants utilisateurs, comme des outils de contrôle parental",Fortement favorable
"... develop specific measures for child users, such as parental control tools",2024,Somewhat support,17.36%,"... élaborer des mesures spécifiques pour les enfants utilisateurs, comme des outils de contrôle parental",Plutôt favorable
"... develop specific measures for child users, such as parental control tools",2022,Somewhat support,19.72%,"... élaborer des mesures spécifiques pour les enfants utilisateurs, comme des outils de contrôle parental",Plutôt favorable
... quickly remove hate speech that deliberately promotes hatred against an identifiable group,2024,Strongly support,66.28%,... supprimer rapidement le discours haineux qui fomente délibérément la haine contre un groupe identifiable,Fortement favorable
... quickly remove hate speech that deliberately promotes hatred against an identifiable group,2022,Strongly support,69.19%,... supprimer rapidement le discours haineux qui fomente délibérément la haine contre un groupe identifiable,Fortement favorable
... quickly remove hate speech that deliberately promotes hatred against an identifiable group,2024,Somewhat support,15.83%,... supprimer rapidement le discours haineux qui fomente délibérément la haine contre un groupe identifiable,Plutôt favorable
... quickly remove hate speech that deliberately promotes hatred against an identifiable group,2022,Somewhat support,14.53%,... supprimer rapidement le discours haineux qui fomente délibérément la haine contre un groupe identifiable,Plutôt favorable
... remove accounts that repeatedly spread false information,2024,Strongly support,65.24%,... supprimer les comptes qui diffusent de manière répétée de fausses informations,Fortement favorable
... remove accounts that repeatedly spread false information,2022,Strongly support,65.93%,... supprimer les comptes qui diffusent de manière répétée de fausses informations,Fortement favorable
... remove accounts that repeatedly spread false information,2021,Strongly support,47.00%,... supprimer les comptes qui diffusent de manière répétée de fausses informations,Fortement favorable
... remove accounts that repeatedly spread false information,2019,Strongly support,52.00%,... supprimer les comptes qui diffusent de manière répétée de fausses informations,Fortement favorable
... remove accounts that repeatedly spread false information,2024,Somewhat support,17.02%,... supprimer les comptes qui diffusent de manière répétée de fausses informations,Plutôt favorable
... remove accounts that repeatedly spread false information,2022,Somewhat support,16.40%,... supprimer les comptes qui diffusent de manière répétée de fausses informations,Plutôt favorable
... remove accounts that repeatedly spread false information,2021,Somewhat support,25.00%,... supprimer les comptes qui diffusent de manière répétée de fausses informations,Plutôt favorable
... remove accounts that repeatedly spread false information,2019,Somewhat support,23.00%,... supprimer les comptes qui diffusent de manière répétée de fausses informations,Plutôt favorable
"... label synthetic media or ""deep fake"" images or videos",2024,Strongly support,64.39%,... étiqueter les médias synthétiques ou les images ou vidéos « hypertruquées »,Fortement favorable
"... label synthetic media or ""deep fake"" images or videos",2022,Strongly support,60.29%,... étiqueter les médias synthétiques ou les images ou vidéos « hypertruquées »,Fortement favorable
"... label synthetic media or ""deep fake"" images or videos",2024,Somewhat support,18.45%,... étiqueter les médias synthétiques ou les images ou vidéos « hypertruquées »,Plutôt favorable
"... label synthetic media or ""deep fake"" images or videos",2022,Somewhat support,21.24%,... étiqueter les médias synthétiques ou les images ou vidéos « hypertruquées »,Plutôt favorable
... have built-in mechanisms for users to report illegal content,2024,Strongly support,64.10%,... disposer de mécanismes intégrés qui permettent aux utilisateurs de signaler le contenu illégal,Fortement favorable
... have built-in mechanisms for users to report illegal content,2022,Strongly support,64.73%,... disposer de mécanismes intégrés qui permettent aux utilisateurs de signaler le contenu illégal,Fortement favorable
... have built-in mechanisms for users to report illegal content,2024,Somewhat support,19.48%,... disposer de mécanismes intégrés qui permettent aux utilisateurs de signaler le contenu illégal,Plutôt favorable
... have built-in mechanisms for users to report illegal content,2022,Somewhat support,19.96%,... disposer de mécanismes intégrés qui permettent aux utilisateurs de signaler le contenu illégal,Plutôt favorable
